"Field","en-us","ru-ru","uz-latn-uz","tg-cyrl-tj","kk-kz","fr-fr","de-de","it-it"
"ProductTitle","DevProjex","DevProjex","DevProjex","DevProjex","DevProjex","DevProjex","DevProjex","DevProjex"
"ShortDescription","Project tree and file contents — ready context for AI chat. ASCII/JSON export, Smart Ignore, .gitignore, Git support. Preview before copying. Read-only, no telemetry.","Дерево проекта и содержимое файлов — готовый контекст для ИИ-чата. ASCII/JSON-экспорт, Smart Ignore, .gitignore, Git-поддержка. Превью перед копированием. Только чтение, без телеметрии.","Loyiha daraxti va fayl mazmuni - AI chat uchun tayyor kontekst. ASCII/JSON eksport, Smart Ignore, .gitignore, Git qo‘llovi. Nusxalashdan oldin preview. Faqat o‘qish, telemetriyasiz.","Дарахти лоиҳа ва мундариҷаи файлҳо - контексти тайёр барои AI-чат. Содироти ASCII/JSON, Smart Ignore, .gitignore, дастгирии Git. Пешнамоиш пеш аз нусха. Танҳо хондан, бе телеметрия.","Жоба ағашы мен файл мазмұны - AI чатқа дайын контекст. ASCII/JSON экспорт, Smart Ignore, .gitignore, Git қолдауы. Көшіру алдында алдын ала қарау. Тек оқу, телеметриясыз.","Arborescence du projet et contenu des fichiers - contexte prêt pour un chat IA. Export ASCII/JSON, Smart Ignore, .gitignore, prise en charge Git. Aperçu avant copie. Lecture seule, sans télémétrie.","Projektbaum und Dateiinhalte - fertiger Kontext für einen KI-Chat. ASCII/JSON-Export, Smart Ignore, .gitignore, Git-Unterstützung. Vorschau vor dem Kopieren. Nur Lesen, keine Telemetrie.","Albero del progetto e contenuto dei file - contesto pronto per una chat IA. Export ASCII/JSON, Smart Ignore, .gitignore, supporto Git. Anteprima prima della copia. Sola lettura, senza telemetria."
"Description","Preparing project context for an AI chat takes more time than it should. DevProjex speeds that up: open a folder or repository, choose what to include, and get a project tree or file contents with a live preview before copying.
Smart Ignore and .gitignore support filter out noise automatically — dependencies, system folders, build artifacts. The tree exports to ASCII or JSON. Works with any stack and any codebase size.
For Git repositories: clone, switch branches, pull updates to local cache. For large projects: search and filtering, a progress bar with cancellation, and live metrics in the status bar — lines, characters, and estimated token count.
Local profiles let you save different settings for different projects.
Read-only by design: source files are never modified, no telemetry is collected, no account required. Source code is available on GitHub.","Подготовить контекст проекта для ИИ-чата — задача, которая занимает больше времени, чем хотелось бы. DevProjex ускоряет её: открываете папку или репозиторий, выбираете что включить — и получаете готовое дерево или содержимое файлов с превью перед копированием.
Smart Ignore и поддержка .gitignore убирают лишнее автоматически: системные папки, зависимости, мусор. Дерево экспортируется в ASCII или JSON. Работает с любым стеком и любым размером кодовой базы.
Для Git-репозиториев: клонирование, переключение веток, обновление локального кэша. Для больших проектов — поиск и фильтрация, прогресс-бар с отменой, живые метрики в статус-баре: строки, символы, примерное число токенов.
Локальные профили позволяют сохранять разные настройки для разных проектов.
Приложение работает в режиме только чтения: файлы не изменяются, телеметрия не собирается, аккаунт не нужен. Исходный код открыт на GitHub.","AI chat uchun loyiha kontekstini tayyorlash ko‘pincha kerakligidan ko‘proq vaqt oladi. DevProjex buni tezlashtiradi: papka yoki repozitoriyani ochasiz, nimani kiritishni tanlaysiz va nusxalashdan oldin live preview bilan loyiha daraxti yoki fayl mazmunini olasiz.
Smart Ignore va .gitignore qo‘llovi keraksiz narsalarni avtomatik olib tashlaydi - bog‘liqliklar, tizim papkalari, build artefaktlari. Daraxt ASCII yoki JSON ko‘rinishida eksport qilinadi. Istalgan stek va istalgan hajmdagi codebase bilan ishlaydi.
Git repozitoriylari uchun: klonlash, branch almashtirish, yangilanishlarni lokal keshga olish. Katta loyihalar uchun: qidiruv va filtrlash, bekor qilish imkoniga ega progress bar va status barda jonli metrikalar - satrlar, belgilar va taxminiy tokenlar soni.
Lokal profillar turli loyihalar uchun turli sozlamalarni saqlashga imkon beradi.
Ilova read-only rejimida ishlaydi: manba fayllar o‘zgartirilmaydi, telemetriya yig‘ilmaydi, akkaunt kerak emas. Manba kod GitHub’da ochiq.","Омода кардани контексти лоиҳа барои AI-чат бештар аз он вақт мегирад, ки мехостед. DevProjex инро тез мекунад: ҷузвдон ё репозиториро мекушоед, интихоб мекунед, ки чӣ ворид шавад, ва пеш аз нусха бо пешнамоиши зинда дарахти лоиҳа ё мундариҷаи файлҳоро мегиред.
Smart Ignore ва дастгирии .gitignore чизҳои зиёдатиро худкор хориҷ мекунанд - вобастагиҳо, ҷузвдонҳои система, артефактҳои build. Дарахт ба ASCII ё JSON содир мешавад. Бо ҳар гуна стек ва бо ҳар андозаи codebase кор мекунад.
Барои репозиторийҳои Git: клон кардан, иваз кардани branch, гирифтани навсозиҳо ба кеши маҳаллӣ. Барои лоиҳаҳои калон: ҷустуҷӯ ва филтркунӣ, progress bar бо имкони бекоркунӣ ва метрикаҳои зинда дар status bar - сатрҳо, аломатҳо ва шумораи тахминии токенҳо.
Профилҳои маҳаллӣ имкон медиҳанд, ки барои лоиҳаҳои гуногун танзимоти гуногун нигоҳ дошта шаванд.
Барнома дар реҷаи танҳо хондан кор мекунад: файлҳои манбаъ ҳеҷ гоҳ тағйир дода намешаванд, телеметрия ҷамъ намешавад ва аккаунт лозим нест. Коди манбаъ дар GitHub дастрас аст.","AI чат үшін жоба контекстін дайындау қажет болғаннан көп уақыт алады. DevProjex мұны жылдамдатады: қалтаны немесе репозиторийді ашасыз, нені қосу керегін таңдайсыз және көшіру алдында live preview арқылы жоба ағашын не файл мазмұнын аласыз.
Smart Ignore және .gitignore қолдауы артық нәрсені автоматты түрде сүзеді - тәуелділіктер, жүйелік қалталар, build артефактілері. Ағаш ASCII немесе JSON пішімінде экспортталады. Кез келген стекпен және кез келген көлемдегі codebase-пен жұмыс істейді.
Git репозиторийлері үшін: клондау, branch ауыстыру, жаңартуларды жергілікті кэшке алу. Үлкен жобалар үшін: іздеу және сүзгілеу, болдырмауы бар progress bar және status bar-дағы тірі метрикалар - жолдар, таңбалар және токендердің шамамен саны.
Жергілікті профильдер әртүрлі жобалар үшін әртүрлі параметрлерді сақтауға мүмкіндік береді.
Қолданба тек оқу режимінде жұмыс істейді: бастапқы файлдар ешқашан өзгертілмейді, телеметрия жиналмайды, аккаунт қажет емес. Бастапқы код GitHub-та ашық.","Préparer le contexte d’un projet pour un chat IA prend plus de temps que nécessaire. DevProjex accélère cela : ouvrez un dossier ou un dépôt, choisissez ce qu’il faut inclure et obtenez une arborescence du projet ou le contenu des fichiers avec un aperçu en direct avant la copie.
Smart Ignore et la prise en charge de .gitignore filtrent automatiquement le bruit inutile - dépendances, dossiers système, artefacts de build. L’arborescence s’exporte en ASCII ou en JSON. Fonctionne avec n’importe quelle stack et pour toute taille de base de code.
Pour les dépôts Git : clonage, changement de branche, récupération des mises à jour dans le cache local. Pour les grands projets : recherche et filtrage, barre de progression avec annulation, et métriques en direct dans la barre d’état - lignes, caractères et estimation du nombre de tokens.
Les profils locaux permettent d’enregistrer des paramètres différents pour différents projets.
Conçu en lecture seule : les fichiers source ne sont jamais modifiés, aucune télémétrie n’est collectée et aucun compte n’est requis. Le code source est disponible sur GitHub.","Die Vorbereitung von Projektkontext für einen KI-Chat kostet mehr Zeit, als sie sollte. DevProjex beschleunigt das: Öffnen Sie einen Ordner oder ein Repository, wählen Sie aus, was einbezogen werden soll, und erhalten Sie einen Projektbaum oder Dateiinhalte mit Live-Vorschau vor dem Kopieren.
Smart Ignore und die Unterstützung für .gitignore filtern unnötiges Rauschen automatisch heraus - Abhängigkeiten, Systemordner, Build-Artefakte. Der Baum lässt sich als ASCII oder JSON exportieren. Funktioniert mit jedem Stack und jeder Größe von Codebasen.
Für Git-Repositories: klonen, Branches wechseln, Updates in den lokalen Cache laden. Für große Projekte: Suche und Filterung, eine Fortschrittsleiste mit Abbruch sowie Live-Metriken in der Statusleiste - Zeilen, Zeichen und geschätzte Tokenzahl.
Lokale Profile ermöglichen es, unterschiedliche Einstellungen für unterschiedliche Projekte zu speichern.
Standardmäßig schreibgeschützt: Quelldateien werden nie verändert, es wird keine Telemetrie erfasst und kein Konto benötigt. Der Quellcode ist auf GitHub verfügbar.","Preparare il contesto di un progetto per una chat IA richiede più tempo del dovuto. DevProjex accelera il processo: apri una cartella o un repository, scegli cosa includere e ottieni l'albero del progetto o il contenuto dei file con anteprima live prima della copia.
Smart Ignore e il supporto a .gitignore filtrano automaticamente il rumore inutile - dipendenze, cartelle di sistema, artefatti di build. L'albero si esporta in ASCII o JSON. Funziona con qualsiasi stack e con codebase di qualsiasi dimensione.
Per i repository Git: clonazione, cambio di branch, aggiornamento della cache locale. Per i progetti grandi: ricerca e filtraggio, barra di avanzamento con annullamento e metriche live nella barra di stato - righe, caratteri e numero stimato di token.
I profili locali consentono di salvare impostazioni diverse per progetti diversi.
Read-only by design: i file sorgente non vengono mai modificati, non viene raccolta telemetria e non serve alcun account. Il codice sorgente è disponibile su GitHub."
"SearchTerms","project context for ai;project tree;copy code for chatgpt;export project structure;codebase for ai chat;git repository viewer;ascii folder tree;file contents export;context for claude;developer tool","контекст для ии чата;дерево проекта;проект для chatgpt;копировать код для claude;экспорт структуры проекта;кодовая база для ии;git репозиторий просмотр;ascii дерево папок;подготовка контекста;инструмент разработчика","ai chat uchun kontekst;loyiha daraxti;chatgpt uchun kod nusxalash;loyiha tuzilmasini eksport qilish;ai uchun codebase;git repozitoriy ko‘rish;ascii papkalar daraxti;fayl mazmunini eksport qilish;claude uchun kontekst;dasturchi vositasi","контекст барои ai чат;дарахти лоиҳа;нусхаи код барои chatgpt;содироти сохтори лоиҳа;codebase барои ai chat;намоишгари репозиторийи git;дарахти ascii-и ҷузвдонҳо;содироти мундариҷаи файлҳо;контекст барои claude;абзори таҳиягар","ai чатқа контекст;жоба ағашы;chatgpt үшін код көшіру;жоба құрылымын экспорттау;ai чатқа codebase;git репозиторий қарау;ascii қалталар ағашы;файл мазмұнын экспорттау;claude үшін контекст;әзірлеуші құралы","contexte de projet pour ia;arborescence du projet;copier du code pour chatgpt;exporter la structure du projet;base de code pour chat ia;visionneuse de dépôt git;arborescence ascii des dossiers;export du contenu des fichiers;contexte pour claude;outil développeur","projektkontext für ki;projektbaum;code für chatgpt kopieren;projektstruktur exportieren;codebasis für ki chat;git repository viewer;ascii ordnerbaum;dateiinhalte exportieren;kontext für claude;entwicklertool","contesto progetto per ia;albero del progetto;copiare codice per chatgpt;esportare struttura del progetto;codebase per chat ia;visualizzatore repository git;albero ascii cartelle;esportazione contenuto file;contesto per claude;strumento per sviluppatori"
"CopyrightAndTrademarkInfo","© 2026 Avazbek Olimov","© 2026 Avazbek Olimov","© 2026 Avazbek Olimov","© 2026 Avazbek Olimov","© 2026 Avazbek Olimov","© 2026 Avazbek Olimov","© 2026 Avazbek Olimov","© 2026 Avazbek Olimov"
"AdditionalLicenseTerms","","","","","","","",""
"DevelopedBy","Avazbek Olimov","Avazbek Olimov","Avazbek Olimov","Avazbek Olimov","Avazbek Olimov","Avazbek Olimov","Avazbek Olimov","Avazbek Olimov"
"PrivacyPolicyUrl","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md","https://github.com/Avazbek22/DevProjex/blob/main/Packaging/Windows/StoreListing/privacy-policy.md"
"WebsiteUrl","https://github.com/Avazbek22/DevProjex","https://github.com/Avazbek22/DevProjex","https://github.com/Avazbek22/DevProjex","https://github.com/Avazbek22/DevProjex","https://github.com/Avazbek22/DevProjex","https://github.com/Avazbek22/DevProjex","https://github.com/Avazbek22/DevProjex","https://github.com/Avazbek22/DevProjex"
"SupportContactInfo","avazbekolimov722@gmail.com","avazbekolimov722@gmail.com","avazbekolimov722@gmail.com","avazbekolimov722@gmail.com","avazbekolimov722@gmail.com","avazbekolimov722@gmail.com","avazbekolimov722@gmail.com","avazbekolimov722@gmail.com"
