Field,ID,Type (Тип),default,en-us,en,ru,ru-ru,kk-kz,de-de,it-it,tg-cyrl-tj,uz-latn-uz,fr-fr
Description,2,Текст,,"Preparing project context for an AI chat takes more time than it should. DevProjex speeds that up: open a folder or repository, choose what to include, and get a project tree or file contents with a live preview before copying.
Smart Ignore and .gitignore support filter out noise automatically — dependencies, system folders, build artifacts. The tree exports to ASCII or JSON. Works with any stack and any codebase size.
For Git repositories: clone, switch branches, pull updates to local cache. For large projects: search and filtering, a progress bar with cancellation, and live metrics in the status bar — lines, characters, and estimated token count.
Local profiles let you save different settings for different projects.
Read-only by design: source files are never modified, no telemetry is collected, no account required. Source code is available on GitHub.","Preparing project context for an AI chat takes more time than it should. DevProjex speeds that up: open a folder or repository, choose what to include, and get a project tree or file contents with a live preview before copying.
Smart Ignore and .gitignore support filter out noise automatically — dependencies, system folders, build artifacts. The tree exports to ASCII or JSON. Works with any stack and any codebase size.
For Git repositories: clone, switch branches, pull updates to local cache. For large projects: search and filtering, a progress bar with cancellation, and live metrics in the status bar — lines, characters, and estimated token count.
Local profiles let you save different settings for different projects.
Read-only by design: source files are never modified, no telemetry is collected, no account required. Source code is available on GitHub.","Подготовить контекст проекта для ИИ-чата — задача, которая занимает больше времени, чем хотелось бы. DevProjex ускоряет её: открываете папку или репозиторий, выбираете что включить — и получаете готовое дерево или содержимое файлов с превью перед копированием.
Smart Ignore и поддержка .gitignore убирают лишнее автоматически: системные папки, зависимости, мусор. Дерево экспортируется в ASCII или JSON. Работает с любым стеком и любым размером кодовой базы.
Для Git-репозиториев: клонирование, переключение веток, обновление локального кэша. Для больших проектов — поиск и фильтрация, прогресс-бар с отменой, живые метрики в статус-баре: строки, символы, примерное число токенов.
Локальные профили позволяют сохранять разные настройки для разных проектов.
Приложение работает в режиме только чтения: файлы не изменяются, телеметрия не собирается, аккаунт не нужен. Исходный код открыт на GitHub.","Подготовить контекст проекта для ИИ-чата — задача, которая занимает больше времени, чем хотелось бы. DevProjex ускоряет её: открываете папку или репозиторий, выбираете что включить — и получаете готовое дерево или содержимое файлов с превью перед копированием.
Smart Ignore и поддержка .gitignore убирают лишнее автоматически: системные папки, зависимости, мусор. Дерево экспортируется в ASCII или JSON. Работает с любым стеком и любым размером кодовой базы.
Для Git-репозиториев: клонирование, переключение веток, обновление локального кэша. Для больших проектов — поиск и фильтрация, прогресс-бар с отменой, живые метрики в статус-баре: строки, символы, примерное число токенов.
Локальные профили позволяют сохранять разные настройки для разных проектов.
Приложение работает в режиме только чтения: файлы не изменяются, телеметрия не собирается, аккаунт не нужен. Исходный код открыт на GitHub.","AI чат үшін жоба контекстін дайындау қажет болғаннан көп уақыт алады. DevProjex мұны жылдамдатады: қалтаны немесе репозиторийді ашасыз, нені қосу керегін таңдайсыз және көшіру алдында live preview арқылы жоба ағашын не файл мазмұнын аласыз.
Smart Ignore және .gitignore қолдауы артық нәрсені автоматты түрде сүзеді - тәуелділіктер, жүйелік қалталар, build артефактілері. Ағаш ASCII немесе JSON пішімінде экспортталады. Кез келген стекпен және кез келген көлемдегі codebase-пен жұмыс істейді.
Git репозиторийлері үшін: клондау, branch ауыстыру, жаңартуларды жергілікті кэшке алу. Үлкен жобалар үшін: іздеу және сүзгілеу, болдырмауы бар progress bar және status bar-дағы тірі метрикалар - жолдар, таңбалар және токендердің шамамен саны.
Жергілікті профильдер әртүрлі жобалар үшін әртүрлі параметрлерді сақтауға мүмкіндік береді.
Қолданба тек оқу режимінде жұмыс істейді: бастапқы файлдар ешқашан өзгертілмейді, телеметрия жиналмайды, аккаунт қажет емес. Бастапқы код GitHub-та ашық.","Die Vorbereitung von Projektkontext für einen KI-Chat kostet mehr Zeit, als sie sollte. DevProjex beschleunigt das: Öffnen Sie einen Ordner oder ein Repository, wählen Sie aus, was einbezogen werden soll, und erhalten Sie einen Projektbaum oder Dateiinhalte mit Live-Vorschau vor dem Kopieren.
Smart Ignore und die Unterstützung für .gitignore filtern unnötiges Rauschen automatisch heraus - Abhängigkeiten, Systemordner, Build-Artefakte. Der Baum lässt sich als ASCII oder JSON exportieren. Funktioniert mit jedem Stack und jeder Größe von Codebasen.
Für Git-Repositories: klonen, Branches wechseln, Updates in den lokalen Cache laden. Für große Projekte: Suche und Filterung, eine Fortschrittsleiste mit Abbruch sowie Live-Metriken in der Statusleiste - Zeilen, Zeichen und geschätzte Tokenzahl.
Lokale Profile ermöglichen es, unterschiedliche Einstellungen für unterschiedliche Projekte zu speichern.
Standardmäßig schreibgeschützt: Quelldateien werden nie verändert, es wird keine Telemetrie erfasst und kein Konto benötigt. Der Quellcode ist auf GitHub verfügbar.","Preparare il contesto di un progetto per una chat IA richiede più tempo del dovuto. DevProjex accelera il processo: apri una cartella o un repository, scegli cosa includere e ottieni l'albero del progetto o il contenuto dei file con anteprima live prima della copia.
Smart Ignore e il supporto a .gitignore filtrano automaticamente il rumore inutile - dipendenze, cartelle di sistema, artefatti di build. L'albero si esporta in ASCII o JSON. Funziona con qualsiasi stack e con codebase di qualsiasi dimensione.
Per i repository Git: clonazione, cambio di branch, aggiornamento della cache locale. Per i progetti grandi: ricerca e filtraggio, barra di avanzamento con annullamento e metriche live nella barra di stato - righe, caratteri e numero stimato di token.
I profili locali consentono di salvare impostazioni diverse per progetti diversi.
Read-only by design: i file sorgente non vengono mai modificati, non viene raccolta telemetria e non serve alcun account. Il codice sorgente è disponibile su GitHub.","Омода кардани контексти лоиҳа барои AI-чат бештар аз он вақт мегирад, ки мехостед. DevProjex инро тез мекунад: ҷузвдон ё репозиториро мекушоед, интихоб мекунед, ки чӣ ворид шавад, ва пеш аз нусха бо пешнамоиши зинда дарахти лоиҳа ё мундариҷаи файлҳоро мегиред.
Smart Ignore ва дастгирии .gitignore чизҳои зиёдатиро худкор хориҷ мекунанд - вобастагиҳо, ҷузвдонҳои система, артефактҳои build. Дарахт ба ASCII ё JSON содир мешавад. Бо ҳар гуна стек ва бо ҳар андозаи codebase кор мекунад.
Барои репозиторийҳои Git: клон кардан, иваз кардани branch, гирифтани навсозиҳо ба кеши маҳаллӣ. Барои лоиҳаҳои калон: ҷустуҷӯ ва филтркунӣ, progress bar бо имкони бекоркунӣ ва метрикаҳои зинда дар status bar - сатрҳо, аломатҳо ва шумораи тахминии токенҳо.
Профилҳои маҳаллӣ имкон медиҳанд, ки барои лоиҳаҳои гуногун танзимоти гуногун нигоҳ дошта шаванд.
Барнома дар реҷаи танҳо хондан кор мекунад: файлҳои манбаъ ҳеҷ гоҳ тағйир дода намешаванд, телеметрия ҷамъ намешавад ва аккаунт лозим нест. Коди манбаъ дар GitHub дастрас аст.","AI chat uchun loyiha kontekstini tayyorlash ko‘pincha kerakligidan ko‘proq vaqt oladi. DevProjex buni tezlashtiradi: papka yoki repozitoriyani ochasiz, nimani kiritishni tanlaysiz va nusxalashdan oldin live preview bilan loyiha daraxti yoki fayl mazmunini olasiz.
Smart Ignore va .gitignore qo‘llovi keraksiz narsalarni avtomatik olib tashlaydi - bog‘liqliklar, tizim papkalari, build artefaktlari. Daraxt ASCII yoki JSON ko‘rinishida eksport qilinadi. Istalgan stek va istalgan hajmdagi codebase bilan ishlaydi.
Git repozitoriylari uchun: klonlash, branch almashtirish, yangilanishlarni lokal keshga olish. Katta loyihalar uchun: qidiruv va filtrlash, bekor qilish imkoniga ega progress bar va status barda jonli metrikalar - satrlar, belgilar va taxminiy tokenlar soni.
Lokal profillar turli loyihalar uchun turli sozlamalarni saqlashga imkon beradi.
Ilova read-only rejimida ishlaydi: manba fayllar o‘zgartirilmaydi, telemetriya yig‘ilmaydi, akkaunt kerak emas. Manba kod GitHub’da ochiq.","Préparer le contexte d’un projet pour un chat IA prend plus de temps que nécessaire. DevProjex accélère cela : ouvrez un dossier ou un dépôt, choisissez ce qu’il faut inclure et obtenez une arborescence du projet ou le contenu des fichiers avec un aperçu en direct avant la copie.
Smart Ignore et la prise en charge de .gitignore filtrent automatiquement le bruit inutile - dépendances, dossiers système, artefacts de build. L’arborescence s’exporte en ASCII ou en JSON. Fonctionne avec n’importe quelle stack et pour toute taille de base de code.
Pour les dépôts Git : clonage, changement de branche, récupération des mises à jour dans le cache local. Pour les grands projets : recherche et filtrage, barre de progression avec annulation, et métriques en direct dans la barre d’état - lignes, caractères et estimation du nombre de tokens.
Les profils locaux permettent d’enregistrer des paramètres différents pour différents projets.
Conçu en lecture seule : les fichiers source ne sont jamais modifiés, aucune télémétrie n’est collectée et aucun compte n’est requis. Le code source est disponible sur GitHub."
ReleaseNotes,3,Текст,,"Reworked preview mode — the final result is visible immediately, without extra steps. Introduced a clearer context-building workflow. Improved UI smoothness and stability on large projects. Updated help content.","Reworked preview mode — the final result is visible immediately, without extra steps. Introduced a clearer context-building workflow. Improved UI smoothness and stability on large projects. Updated help content.","Переработан режим превью — финальный результат виден сразу, без лишних шагов. Добавлен более чёткий сценарий сборки контекста. Улучшена плавность интерфейса и стабильность на больших проектах. Обновлена справка.","Переработан режим превью — финальный результат виден сразу, без лишних шагов. Добавлен более чёткий сценарий сборки контекста. Улучшена плавность интерфейса и стабильность на больших проектах. Обновлена справка.",Алдын ала қарау режимі қайта жасалды - соңғы нәтиже артық қадамдарсыз бірден көрінеді. Контекст жинау сценарийі анығырақ болды. Интерфейс тегістігі мен үлкен жобалардағы тұрақтылық жақсарды. Анықтама жаңартылды.,"Der Vorschaumodus wurde überarbeitet - das Endergebnis ist sofort sichtbar, ohne zusätzliche Schritte. Der Workflow zum Erstellen von Kontext wurde klarer. Die UI läuft flüssiger und ist bei großen Projekten stabiler. Die Hilfe wurde aktualisiert.","La modalità anteprima è stata rielaborata: il risultato finale è visibile subito, senza passaggi extra. Il flusso di preparazione del contesto è ora più chiaro. Migliorate fluidità dell’interfaccia e stabilità sui progetti grandi. Guida aggiornata.","Режими пешнамоиш аз нав коркард шуд - натиҷаи ниҳоӣ фавран, бе қадамҳои зиёдатӣ намоён аст. Ҷараёни омода кардани контекст равшантар шуд. Ҳамвории интерфейс ва устуворӣ дар лоиҳаҳои калон беҳтар гардид. Ёрӣ нав шуд.",Preview rejimi qayta ishlangan - yakuniy natija ortiqcha qadamlarsiz darhol ko‘rinadi. Kontekst tayyorlash jarayoni aniqroq qilindi. Interfeys silliqligi va katta loyihalardagi barqarorlik yaxshilandi. Yordam yangilandi.,"Le mode aperçu a été repensé - le résultat final est visible immédiatement, sans étapes inutiles. Le workflow de préparation du contexte a été clarifié. L’interface est plus fluide et plus stable sur les grands projets. L’aide a été mise à jour."
Title,4,Текст,,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex
ShortTitle,5,Текст,,,,,,,,,,,
SortTitle,6,Текст,,,,,,,,,,,
VoiceTitle,7,Текст,,,,,,,,,,,
ShortDescription,8,Текст,,"Project tree and file contents — ready context for AI chat. ASCII/JSON export, Smart Ignore, .gitignore, Git support. Preview before copying. Read-only, no telemetry.","Project tree and file contents — ready context for AI chat. ASCII/JSON export, Smart Ignore, .gitignore, Git support. Preview before copying. Read-only, no telemetry.","Дерево проекта и содержимое файлов — готовый контекст для ИИ-чата. ASCII/JSON-экспорт, Smart Ignore, .gitignore, Git-поддержка. Превью перед копированием. Только чтение, без телеметрии.","Дерево проекта и содержимое файлов — готовый контекст для ИИ-чата. ASCII/JSON-экспорт, Smart Ignore, .gitignore, Git-поддержка. Превью перед копированием. Только чтение, без телеметрии.","Жоба ағашы мен файл мазмұны - AI чатқа дайын контекст. ASCII/JSON экспорт, Smart Ignore, .gitignore, Git қолдауы. Көшіру алдында алдын ала қарау. Тек оқу, телеметриясыз.","Projektbaum und Dateiinhalte - fertiger Kontext für einen KI-Chat. ASCII/JSON-Export, Smart Ignore, .gitignore, Git-Unterstützung. Vorschau vor dem Kopieren. Nur Lesen, keine Telemetrie.","Albero del progetto e contenuto dei file - contesto pronto per una chat IA. Export ASCII/JSON, Smart Ignore, .gitignore, supporto Git. Anteprima prima della copia. Sola lettura, senza telemetria.","Дарахти лоиҳа ва мундариҷаи файлҳо - контексти тайёр барои AI-чат. Содироти ASCII/JSON, Smart Ignore, .gitignore, дастгирии Git. Пешнамоиш пеш аз нусха. Танҳо хондан, бе телеметрия.","Loyiha daraxti va fayl mazmuni - AI chat uchun tayyor kontekst. ASCII/JSON eksport, Smart Ignore, .gitignore, Git qo‘llovi. Nusxalashdan oldin preview. Faqat o‘qish, telemetriyasiz.","Arborescence du projet et contenu des fichiers - contexte prêt pour un chat IA. Export ASCII/JSON, Smart Ignore, .gitignore, prise en charge Git. Aperçu avant copie. Lecture seule, sans télémétrie."
DevStudio,9,Текст,,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov
CopyrightTrademarkInformation,12,Текст,,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov
AdditionalLicenseTerms,13,Текст,,,,,,,,,,,
